delhi_solarpv,delhi_onshorewind,maharashtra_solarpv,maharashtra_onshorewind,rajasthan_solarpv,rajasthan_onshorewind
0,0.006,0,0.246,0,0.194
0,0.019,0.008,0.223,0,0.18
0.09,0.033,0.253,0.116,0.04,0.195
0.257,0.014,0.48,0.083,0.173,0.134
0.415,0.002,0.628,0.253,0.325,0.038
0.507,0.009,0.717,0.247,0.425,0.027
0.497,0.021,0.747,0.251,0.462,0.12
0.475,0.016,0.741,0.247,0.439,0.124
0.404,0.012,0.688,0.236,0.359,0.102
0.278,0.005,0.583,0.221,0.259,0.078
0.143,0,0.418,0.206,0.138,0.052
0.033,0.001,0.188,0.206,0.048,0.062
0,0.02,0.006,0.258,0.001,0.139
0,0.077,0,0.322,0,0.453
0,0.16,0,0.424,0,0.661
0,0.266,0,0.454,0,0.651
0,0.331,0,0.453,0,0.539
0,0.33,0,0.468,0,0.449
0,0.317,0,0.483,0,0.465
0,0.341,0,0.499,0,0.508
0,0.383,0,0.533,0,0.514
0,0.405,0,0.569,0,0.574
0,0.426,0,0.579,0,0.664
0,0.458,0,0.537,0,0.599
0,0.521,0,0.495,0,0.494
0,0.593,0.007,0.469,0,0.399
0.035,0.578,0.237,0.26,0.014,0.329
0.11,0.341,0.467,0.166,0.075,0.232
0.198,0.198,0.619,0.222,0.155,0.173
0.257,0.295,0.706,0.164,0.214,0.089
0.25,0.577,0.741,0.147,0.268,0.024
0.238,0.717,0.735,0.135,0.376,0.003
0.199,0.799,0.68,0.129,0.494,0.001
0.132,0.781,0.566,0.134,0.473,0
0.063,0.803,0.399,0.14,0.316,0
0.01,0.895,0.172,0.153,0.117,0.005
0,0.935,0.005,0.209,0.005,0.025
0,0.936,0,0.314,0,0.036
0,0.916,0,0.426,0,0.034
0,0.867,0,0.49,0,0.023
0,0.886,0,0.527,0,0.01
0,0.92,0,0.537,0,0.003
0,0.941,0,0.545,0,0.003
0,0.955,0,0.559,0,0.008
0,0.891,0,0.512,0,0.029
0,0.871,0,0.401,0,0.085
0,0.835,0,0.292,0,0.186
0,0.719,0,0.191,0,0.278
0,0.576,0,0.112,0,0.272
0,0.366,0.005,0.047,0,0.184
0.062,0.246,0.189,0.009,0.103,0.092
0.207,0.208,0.446,0.001,0.371,0.028
0.384,0.17,0.61,0.005,0.58,0.018
0.536,0.143,0.709,0.029,0.702,0.041
0.606,0.112,0.758,0.051,0.756,0.107
0.609,0.067,0.752,0.063,0.762,0.188
0.559,0.037,0.699,0.066,0.712,0.262
0.406,0.019,0.597,0.061,0.622,0.282
0.226,0.01,0.433,0.051,0.45,0.256
0.051,0.014,0.205,0.035,0.213,0.222
0,0.055,0.009,0.018,0.013,0.227
0,0.145,0,0.023,0,0.192
0,0.274,0,0.042,0,0.142
0,0.373,0,0.065,0,0.095
0,0.432,0,0.116,0,0.057
0,0.479,0,0.203,0,0.04
0,0.496,0,0.298,0,0.044
0,0.477,0,0.384,0,0.058
0,0.428,0,0.419,0,0.079
0,0.377,0,0.399,0,0.104
0,0.323,0,0.371,0,0.141
0,0.26,0,0.341,0,0.176
0,0.207,0,0.303,0,0.205
0,0.175,0.008,0.252,0,0.23
0.082,0.114,0.242,0.131,0.139,0.257
0.235,0.049,0.479,0.112,0.411,0.169
0.436,0.044,0.638,0.05,0.609,0.075
0.607,0.04,0.734,0.018,0.728,0.042
0.639,0.038,0.78,0.012,0.776,0.018
0.633,0.042,0.774,0.013,0.785,0.012
0.567,0.056,0.72,0.014,0.74,0.017
0.445,0.07,0.618,0.011,0.64,0.026
0.253,0.086,0.457,0.008,0.472,0.033
0.06,0.18,0.227,0.005,0.231,0.069
0,0.359,0.011,0.009,0.016,0.19
0,0.512,0,0.032,0,0.346
0,0.608,0,0.074,0,0.485
0,0.654,0,0.101,0,0.575
0,0.673,0,0.102,0,0.622
0,0.688,0,0.102,0,0.645
0,0.704,0,0.111,0,0.647
0,0.709,0,0.137,0,0.628
0,0.698,0,0.189,0,0.605
0,0.679,0,0.258,0,0.626
0,0.628,0,0.307,0,0.663
0,0.559,0,0.33,0,0.683
0,0.512,0,0.311,0,0.683
0.001,0.482,0.011,0.242,0,0.654
0.125,0.347,0.274,0.075,0.12,0.563
0.345,0.137,0.497,0.022,0.384,0.238
0.508,0.104,0.645,0.025,0.586,0.084
0.601,0.069,0.736,0.056,0.707,0.218
0.579,0.043,0.777,0.059,0.769,0.182
0.546,0.035,0.769,0.057,0.777,0.158
0.456,0.035,0.714,0.064,0.73,0.171
0.357,0.037,0.606,0.077,0.636,0.212
0.174,0.043,0.442,0.077,0.466,0.269
0.037,0.074,0.211,0.065,0.225,0.345
0,0.175,0.009,0.049,0.016,0.512
0,0.355,0,0.05,0,0.632
0,0.525,0,0.07,0,0.676
0,0.625,0,0.121,0,0.68
0,0.654,0,0.232,0,0.655
0,0.616,0,0.348,0,0.614
0,0.568,0,0.451,0,0.566
0,0.501,0,0.548,0,0.52
0,0.426,0,0.594,0,0.468
0,0.377,0,0.596,0,0.41
0,0.358,0,0.575,0,0.341
0,0.328,0,0.527,0,0.279
0,0.277,0,0.475,0,0.237
0,0.182,0.009,0.412,0,0.196
0.027,0.107,0.247,0.208,0.12,0.148
0.113,0.073,0.477,0.176,0.382,0.063
0.279,0.039,0.633,0.052,0.586,0.02
0.425,0.029,0.729,0.006,0.713,0.002
0.525,0.039,0.766,0.045,0.783,0
0.601,0.066,0.761,0.1,0.792,0
0.594,0.134,0.705,0.143,0.749,0
0.462,0.222,0.592,0.174,0.659,0.001
0.284,0.304,0.422,0.176,0.496,0.001
0.076,0.412,0.192,0.155,0.259,0.001
0,0.538,0.008,0.123,0.023,0.002
0,0.548,0,0.148,0,0.002
0,0.494,0,0.208,0,0.006
0,0.442,0,0.293,0,0.02
0,0.397,0,0.394,0,0.047
0,0.349,0,0.464,0,0.09
0,0.318,0,0.474,0,0.14
0,0.301,0,0.468,0,0.185
0,0.291,0,0.438,0,0.223
0,0.286,0,0.369,0,0.296
0,0.279,0,0.276,0,0.395
0,0.264,0,0.206,0,0.477
0,0.273,0,0.175,0,0.531
0.005,0.33,0.008,0.151,0,0.563
0.257,0.291,0.229,0.058,0.138,0.561
0.502,0.094,0.461,0.004,0.4,0.321
0.664,0.16,0.623,0.005,0.596,0.12
0.758,0.167,0.719,0.025,0.717,0.018
0.781,0.119,0.745,0.044,0.783,0.007
0.765,0.102,0.733,0.055,0.792,0.004
0.694,0.109,0.672,0.058,0.745,0.002
0.559,0.129,0.564,0.048,0.642,0.009
0.358,0.164,0.387,0.027,0.473,0.024
0.106,0.259,0.163,0.007,0.229,0.051
0,0.419,0.006,0.002,0.017,0.139
0,0.544,0,0.026,0,0.262
0,0.62,0,0.102,0,0.379
0,0.658,0,0.175,0,0.471
0,0.664,0,0.235,0,0.534
0,0.651,0,0.284,0,0.548
0,0.626,0,0.356,0,0.525
0,0.584,0,0.442,0,0.516
0,0.512,0,0.474,0,0.562
0,0.424,0,0.493,0,0.498
0,0.354,0,0.511,0,0.294
0,0.33,0,0.492,0,0.233
0,0.373,0,0.507,0,0.269
0.004,0.439,0.007,0.52,0,0.305
0.205,0.373,0.209,0.504,0.067,0.253
0.444,0.164,0.441,0.501,0.298,0.112
0.562,0.294,0.608,0.405,0.511,0.041
0.527,0.618,0.712,0.231,0.644,0
0.418,0.644,0.736,0.091,0.756,0
0.435,0.622,0.729,0.027,0.77,0.013
0.472,0.572,0.671,0.008,0.728,0.039
0.43,0.512,0.596,0.003,0.629,0.059
0.313,0.467,0.427,0.021,0.461,0.064
0.086,0.479,0.195,0.121,0.224,0.064
0,0.572,0.009,0.402,0.018,0.081
0,0.628,0,0.625,0,0.094
0,0.67,0,0.692,0,0.12
0,0.717,0,0.686,0,0.158
0,0.766,0,0.67,0,0.199
0,0.798,0,0.648,0,0.22
0,0.814,0,0.604,0,0.194
0,0.813,0,0.535,0,0.148
0,0.808,0,0.494,0,0.118
0,0.78,0,0.519,0,0.103
0,0.726,0,0.534,0,0.085
0,0.692,0,0.556,0,0.083
0,0.677,0,0.571,0,0.092
0.007,0.67,0.014,0.561,0,0.123
0.27,0.416,0.299,0.59,0.131,0.125
0.519,0.158,0.531,0.622,0.386,0.049
0.682,0.23,0.687,0.509,0.584,0.004
0.77,0.697,0.783,0.351,0.709,0
0.79,0.598,0.819,0.189,0.775,0
0.777,0.547,0.814,0.085,0.784,0
0.709,0.562,0.761,0.044,0.739,0.004
0.569,0.564,0.648,0.049,0.629,0.009
0.37,0.537,0.483,0.077,0.46,0.008
0.114,0.59,0.247,0.111,0.223,0.01
