Time_index,Load_MW_z1,Load_MW_z2,Load_MW_z3
339,3387.0,14933.0,29190.0
340,3316.0,14231.0,29446.0
341,3373.0,13628.0,30031.0
342,3574.0,14776.0,31435.0
343,3951.0,17340.0,32412.0
344,4389.0,18186.0,33446.0
345,4666.0,18105.0,33743.0
346,4934.0,17210.0,33652.0
347,5299.0,16157.0,34283.0
348,5323.0,15505.0,35113.0
349,5220.0,14542.0,35122.0
350,4803.0,14442.0,35393.0
351,4782.0,14435.0,36056.0
352,4808.0,14615.0,36283.0
353,4784.0,14667.0,36007.0
354,5051.0,14689.0,35212.0
355,5463.0,15602.0,34364.0
356,5321.0,14801.0,33345.0
357,4954.0,13214.0,31730.0
358,4485.0,12715.0,30654.0
359,4156.0,14058.0,29752.0
360,3855.0,15132.0,29221.0
361,3539.0,14957.0,28994.0
362,3332.0,14663.0,29130.0
363,3202.0,14423.0,29625.0
364,3116.0,13823.0,29814.0
365,3140.0,13221.0,30417.0
366,3332.0,14179.0,31368.0
367,3682.0,17043.0,32758.0
368,4101.0,18409.0,33441.0
369,4388.0,17994.0,33539.0
370,4690.0,16987.0,33017.0
371,5079.0,15895.0,33797.0
372,5212.0,15417.0,35043.0
373,5105.0,14435.0,35211.0
374,4664.0,14017.0,35078.0
375,4622.0,14243.0,35314.0
376,4526.0,14339.0,35606.0
377,4514.0,14270.0,35291.0
378,4799.0,13960.0,34209.0
379,5219.0,14793.0,33535.0
380,5085.0,14117.0,32654.0
381,4751.0,12764.0,31390.0
382,4375.0,12571.0,30792.0
383,4082.0,14333.0,29972.0
384,3762.0,15577.0,29448.0
385,3455.0,15425.0,29353.0
386,3279.0,15209.0,29955.0
387,3149.0,15044.0,30546.0
388,3079.0,14378.0,30710.0
389,3123.0,13234.0,30978.0
390,3522.0,14080.0,32267.0
391,4429.0,17264.0,33616.0
392,4759.0,18881.0,35038.0
393,4755.0,18262.0,34981.0
394,5134.0,17014.0,34842.0
395,5399.0,15770.0,36010.0
396,5341.0,15253.0,37984.0
397,5261.0,14555.0,38140.0
398,4836.0,14148.0,37993.0
399,5117.0,14340.0,38149.0
400,5146.0,14454.0,38857.0
401,5160.0,14880.0,38405.0
402,5373.0,14680.0,37041.0
403,5660.0,15660.0,36028.0
404,5448.0,15160.0,34984.0
405,5002.0,13794.0,33527.0
406,4507.0,13549.0,32647.0
407,4256.0,15210.0,32032.0
408,3860.0,16371.0,31388.0
409,3529.0,16292.0,31125.0
410,3300.0,16153.0,31535.0
411,3191.0,15921.0,32379.0
412,3095.0,15482.0,32367.0
413,3152.0,14282.0,32471.0
414,3557.0,14685.0,33663.0
415,4491.0,16940.0,35656.0
416,4874.0,18088.0,35950.0
417,4865.0,17419.0,35979.0
418,5115.0,16256.0,35843.0
419,5533.0,14909.0,37037.0
420,5523.0,14357.0,38636.0
421,5405.0,14253.0,38603.0
422,4943.0,13806.0,37975.0
423,5072.0,13785.0,38576.0
424,5079.0,14262.0,38940.0
425,5080.0,14277.0,38972.0
426,5344.0,14477.0,37654.0
427,5679.0,15840.0,36642.0
428,5438.0,15158.0,35503.0
429,4980.0,13794.0,33901.0
430,4448.0,14008.0,33302.0
431,4105.0,15819.0,32640.0
432,3731.0,16686.0,32108.0
433,3379.0,16835.0,32101.0
434,3144.0,16370.0,32557.0
435,3054.0,16041.0,32931.0
436,2987.0,15320.0,33017.0
437,2984.0,14506.0,33544.0
438,3367.0,15230.0,34422.0
439,4268.0,17031.0,36256.0
440,4778.0,17906.0,37238.0
441,4898.0,17691.0,36579.0
442,5271.0,16390.0,36325.0
443,5624.0,16164.0,37208.0
444,5557.0,15460.0,38896.0
445,5432.0,14882.0,38815.0
446,4974.0,13980.0,38458.0
447,5006.0,14406.0,38726.0
448,5047.0,14424.0,38846.0
449,5078.0,14519.0,39217.0
450,5334.0,14841.0,37739.0
451,5619.0,15142.0,37071.0
452,5392.0,14752.0,35906.0
453,4850.0,13483.0,34558.0
454,4269.0,13425.0,33556.0
455,3908.0,15185.0,32913.0
456,3504.0,16009.0,32132.0
457,3178.0,16387.0,31785.0
458,2968.0,16201.0,31977.0
459,2867.0,16113.0,32432.0
460,2799.0,15843.0,32942.0
461,2848.0,14591.0,33247.0
462,3168.0,15106.0,34357.0
463,3841.0,17367.0,36292.0
464,4540.0,18062.0,37292.0
465,4952.0,17938.0,36892.0
466,5296.0,16678.0,36365.0
467,5675.0,15892.0,37450.0
468,5579.0,15531.0,38907.0
469,5347.0,15046.0,38629.0
470,4859.0,14660.0,38463.0
471,5015.0,14751.0,38576.0
472,4988.0,15240.0,38628.0
473,5011.0,15710.0,38131.0
474,5251.0,15369.0,37173.0
475,5582.0,15964.0,35960.0
476,5339.0,15547.0,34645.0
477,4872.0,14336.0,33305.0
478,4312.0,14049.0,32460.0
479,3957.0,15669.0,31669.0
480,3550.0,16717.0,30979.0
481,3204.0,16327.0,30673.0
482,2971.0,15827.0,31098.0
483,2848.0,15666.0,31747.0
484,2784.0,15033.0,31706.0
485,2815.0,13946.0,32007.0
486,3107.0,14728.0,33274.0
487,3724.0,18163.0,35135.0
488,4598.0,19580.0,35859.0
489,5071.0,19042.0,35248.0
490,5458.0,17717.0,35028.0
491,5838.0,16496.0,36106.0
492,5770.0,15650.0,37520.0
493,5665.0,14657.0,37626.0
494,5105.0,14006.0,37145.0
495,5022.0,14148.0,37525.0
496,4985.0,14598.0,38011.0
497,5024.0,14656.0,37594.0
498,5262.0,14981.0,36415.0
499,5562.0,15945.0,35239.0
500,5324.0,15366.0,33993.0
501,4824.0,13824.0,32597.0
502,4224.0,13585.0,31505.0
503,3911.0,15376.0,30840.0
504,3524.0,16056.0,30200.0
505,2881.0,13712.0,29476.0
506,2626.0,13261.0,29466.0
507,2506.0,13058.0,29612.0
508,2418.0,12581.0,29624.0
509,2478.0,11551.0,30210.0
510,2889.0,12651.0,31588.0
511,3739.0,15975.0,33772.0
512,4632.0,17977.0,35254.0
513,5186.0,18080.0,35862.0
514,5463.0,17187.0,35907.0
515,5534.0,16212.0,36091.0
516,5463.0,15081.0,37487.0
517,5203.0,13850.0,37326.0
518,4591.0,13099.0,35028.0
519,4455.0,13469.0,35284.0
520,4370.0,13787.0,36456.0
521,4339.0,14000.0,36534.0
522,4642.0,15152.0,35461.0
523,5103.0,15969.0,34929.0
524,4942.0,15582.0,33704.0
525,4595.0,14049.0,32419.0
526,4068.0,13338.0,31549.0
527,3680.0,14437.0,30488.0
528,3215.0,14848.0,30388.0
529,2804.0,14286.0,30415.0
530,2542.0,13752.0,30214.0
531,2405.0,13598.0,30195.0
532,2338.0,12976.0,30249.0
533,2379.0,12033.0,30756.0
534,2678.0,13092.0,32043.0
535,3252.0,16619.0,33519.0
536,4016.0,18614.0,34487.0
537,4661.0,18882.0,34716.0
538,5022.0,18484.0,34546.0
539,5239.0,17901.0,34771.0
540,5217.0,16567.0,36280.0
541,4989.0,15326.0,36250.0
542,4457.0,15505.0,35850.0
543,4273.0,15630.0,35924.0
544,4081.0,15891.0,35750.0
545,4052.0,15934.0,35673.0
546,4313.0,15396.0,34572.0
547,4666.0,16047.0,33824.0
548,4483.0,14658.0,32887.0
549,4251.0,13012.0,31502.0
550,3971.0,12415.0,31169.0
551,3660.0,13539.0,30565.0
552,3281.0,13853.0,30189.0
553,2954.0,13307.0,30547.0
554,2781.0,12805.0,30130.0
555,2687.0,12211.0,30166.0
556,2641.0,11715.0,30306.0
557,2721.0,11013.0,30831.0
558,3130.0,12253.0,32112.0
559,4085.0,15921.0,34578.0
560,4708.0,18234.0,36192.0
561,4854.0,19023.0,36143.0
562,4978.0,17789.0,36077.0
563,5743.0,15947.0,36739.0
564,5614.0,15155.0,38087.0
565,5326.0,14211.0,37866.0
566,4784.0,13670.0,37199.0
567,4696.0,13616.0,36934.0
568,4671.0,14083.0,36713.0
569,4716.0,14226.0,35892.0
570,5098.0,14741.0,34862.0
571,5068.0,15071.0,34194.0
572,4699.0,13375.0,33488.0
573,4308.0,11474.0,32664.0
574,3890.0,10843.0,31520.0
575,3565.0,11486.0,30677.0
576,3066.0,11763.0,30128.0
577,2745.0,11296.0,30113.0
578,2602.0,10990.0,29964.0
579,2475.0,10801.0,29912.0
580,2268.0,10537.0,30103.0
581,2396.0,10044.0,30763.0
582,2960.0,11063.0,32136.0
583,4262.0,13600.0,34914.0
584,5113.0,15906.0,36809.0
585,5313.0,16159.0,36935.0
586,5563.0,16101.0,36356.0
587,5744.0,15311.0,36587.0
588,5540.0,14645.0,37555.0
589,5301.0,13802.0,37504.0
590,4781.0,13810.0,37084.0
591,4782.0,13950.0,37071.0
592,4713.0,14022.0,36866.0
593,4733.0,14250.0,36235.0
594,5099.0,14616.0,34815.0
595,5379.0,15537.0,34239.0
596,5222.0,15411.0,33226.0
597,4815.0,14218.0,31822.0
598,4314.0,13668.0,31129.0
599,3804.0,14212.0,30285.0
600,3270.0,14537.0,29864.0
601,2829.0,13957.0,30147.0
602,2571.0,13528.0,29884.0
603,2439.0,12962.0,29838.0
604,2402.0,12288.0,29916.0
605,2493.0,11214.0,30389.0
606,3092.0,12228.0,32028.0
607,4485.0,15253.0,34326.0
608,5383.0,16780.0,36124.0
609,5575.0,17662.0,36675.0
610,5757.0,17199.0,36285.0
611,5936.0,16068.0,36705.0
612,5755.0,15326.0,37862.0
613,5423.0,14389.0,37623.0
614,4881.0,14057.0,37160.0
615,4844.0,14204.0,36895.0
616,4759.0,14655.0,36842.0
617,4737.0,15275.0,36263.0
618,5072.0,15924.0,34753.0
619,5463.0,17046.0,34499.0
620,5305.0,16049.0,33603.0
621,4833.0,14061.0,32135.0
622,4237.0,13042.0,31100.0
623,3892.0,13764.0,30381.0
624,3325.0,14056.0,29813.0
625,2845.0,13463.0,29910.0
626,2572.0,12923.0,29869.0
627,2464.0,12389.0,29974.0
628,2395.0,11943.0,29881.0
629,2458.0,11099.0,30328.0
630,3032.0,12120.0,31953.0
631,4372.0,15838.0,34639.0
632,5270.0,18469.0,36155.0
633,5521.0,18740.0,36392.0
634,5764.0,17968.0,36077.0
635,5939.0,17180.0,36521.0
636,5729.0,15749.0,37944.0
637,5479.0,14691.0,37410.0
638,4844.0,14407.0,36695.0
639,4838.0,14492.0,37007.0
640,4786.0,14898.0,36706.0
641,4775.0,15577.0,36141.0
642,5138.0,15926.0,35272.0
643,5566.0,16661.0,34740.0
644,5396.0,15634.0,33511.0
645,4977.0,13638.0,32486.0
646,4478.0,13169.0,31944.0
647,3998.0,13781.0,31120.0
648,3395.0,14322.0,30632.0
649,2902.0,13596.0,30997.0
650,2641.0,13148.0,30766.0
651,2480.0,12970.0,30860.0
652,2451.0,12347.0,30874.0
653,2554.0,11498.0,31632.0
654,3189.0,12436.0,33378.0
655,4612.0,15919.0,35831.0
656,5527.0,17861.0,37028.0
657,5896.0,18117.0,36569.0
658,6138.0,17328.0,35812.0
659,6394.0,15992.0,36003.0
660,6146.0,15374.0,36921.0
661,5816.0,14759.0,37070.0
662,5186.0,14635.0,36924.0
663,5075.0,14783.0,36775.0
664,4954.0,15254.0,36610.0
665,4792.0,15775.0,35930.0
666,5194.0,15989.0,34699.0
667,5620.0,16325.0,34437.0
668,5478.0,15334.0,33274.0
669,5079.0,13504.0,32424.0
670,4573.0,12557.0,31745.0
671,4076.0,13384.0,31038.0
672,3466.0,13797.0,30294.0
673,8918.0,13770.0,30610.0
674,8399.0,13646.0,30293.0
675,7915.0,13635.0,30063.0
676,7517.0,14156.0,29886.0
677,7173.0,13724.0,30458.0
678,6850.0,14059.0,31299.0
679,6561.0,14338.0,32926.0
680,6465.0,14131.0,33561.0
681,6425.0,13650.0,33751.0
682,6719.0,12964.0,33909.0
683,7471.0,12625.0,33878.0
684,7840.0,12579.0,33764.0
685,8069.0,12943.0,33532.0
686,8031.0,13437.0,32876.0
687,8476.0,13536.0,32846.0
688,8013.0,13398.0,33137.0
689,8226.0,13508.0,32755.0
690,8497.0,12927.0,32156.0
691,7927.0,12031.0,32156.0
692,7404.0,12746.0,32533.0
693,7782.0,14241.0,32576.0
694,8063.0,13973.0,32157.0
695,8603.0,14396.0,31497.0
696,8812.0,14517.0,31121.0
697,8462.0,14566.0,30843.0
698,8083.0,14401.0,29965.0
699,7667.0,14224.0,29844.0
700,7325.0,14021.0,29645.0
701,6987.0,13625.0,29822.0
702,6701.0,14206.0,30853.0
703,6352.0,14092.0,32252.0
704,6186.0,14149.0,32887.0
705,6128.0,13856.0,33319.0
706,6348.0,13160.0,33224.0
707,6832.0,12846.0,33075.0
708,7293.0,12794.0,33340.0
709,7616.0,12731.0,32948.0
710,7674.0,12383.0,32016.0
711,8047.0,11974.0,31751.0
712,8046.0,12082.0,31385.0
713,7753.0,12004.0,30837.0
714,7419.0,11610.0,30049.0
715,7252.0,11126.0,30188.0
716,7474.0,12369.0,31634.0
717,7933.0,13797.0,31374.0
718,8481.0,13470.0,31057.0
719,9071.0,14571.0,30963.0
720,9165.0,14778.0,30316.0
721,8788.0,14945.0,30192.0
722,8355.0,14732.0,29707.0
723,7990.0,14385.0,29223.0
724,7630.0,14015.0,29162.0
725,7282.0,13781.0,29496.0
726,6983.0,14467.0,30517.0
727,6669.0,14567.0,32296.0
728,6564.0,14515.0,33140.0
729,6732.0,14004.0,33628.0
730,7329.0,13540.0,33685.0
731,8056.0,13335.0,33733.0
732,8274.0,13681.0,34247.0
733,7999.0,13998.0,34215.0
734,7726.0,13628.0,33426.0
735,8079.0,13579.0,33269.0
736,8314.0,13220.0,33562.0
737,8113.0,12681.0,32839.0
738,7792.0,11857.0,32530.0
739,7424.0,11704.0,32504.0
740,7396.0,12649.0,32988.0
741,7651.0,14046.0,32983.0
742,7933.0,14034.0,31918.0
743,8450.0,14685.0,31029.0
744,8547.0,14899.0,30537.0
745,8130.0,14404.0,29879.0
746,7678.0,14096.0,29615.0
747,7289.0,13751.0,29833.0
748,6961.0,13274.0,30127.0
749,6673.0,12887.0,30619.0
750,6401.0,13395.0,32042.0
751,6286.0,13662.0,33676.0
752,6264.0,13762.0,34595.0
