Resource,delhi_solarpv,delhi_onshorewind,maharashtra_solarpv,maharashtra_onshorewind,rajasthan_solarpv,rajasthan_onshorewind
4093,0.622,0.009,0.593,0.508,0.622,0.131
4094,0.572,0.035,0.545,0.545,0.59,0.114
4095,0.473,0.057,0.455,0.648,0.514,0.108
4096,0.353,0.066,0.336,0.766,0.405,0.102
4097,0.215,0.073,0.195,0.828,0.265,0.098
4098,0.085,0.072,0.069,0.857,0.121,0.103
4099,0.007,0.082,0.003,0.874,0.029,0.128
4100,0,0.085,0,0.888,0,0.245
4101,0,0.101,0,0.884,0,0.457
4102,0,0.136,0,0.859,0,0.641
4103,0,0.16,0,0.83,0,0.743
4104,0,0.183,0,0.816,0,0.799
4105,0,0.206,0,0.778,0,0.826
4106,0,0.232,0,0.718,0,0.868
4107,0,0.193,0,0.673,0,0.875
4108,0,0.124,0,0.632,0,0.83
4109,0,0.069,0,0.543,0,0.739
4110,0.027,0.024,0.004,0.416,0.002,0.577
4111,0.125,0.002,0.063,0.42,0.058,0.427
4112,0.271,0,0.205,0.453,0.183,0.282
4113,0.413,0,0.359,0.434,0.334,0.236
4114,0.525,0,0.483,0.359,0.468,0.203
4115,0.598,0,0.562,0.251,0.561,0.134
4116,0.619,0.001,0.598,0.162,0.596,0.069
4117,0.611,0.004,0.59,0.108,0.605,0.028
4118,0.564,0.018,0.54,0.084,0.572,0.009
4119,0.477,0.036,0.437,0.09,0.494,0.002
4120,0.358,0.054,0.313,0.12,0.386,0.001
4121,0.218,0.071,0.17,0.185,0.252,0.002
4122,0.086,0.085,0.065,0.343,0.12,0.008
4123,0.008,0.125,0.003,0.59,0.027,0.022
4124,0,0.176,0,0.754,0,0.058
4125,0,0.188,0,0.801,0,0.131
4126,0,0.182,0,0.825,0,0.23
4127,0,0.17,0,0.788,0,0.328
4128,0,0.162,0,0.724,0,0.395
4129,0,0.156,0,0.641,0,0.433
4130,0,0.139,0,0.562,0,0.445
4131,0,0.135,0,0.483,0,0.394
4132,0,0.139,0,0.421,0,0.338
4133,0,0.133,0,0.33,0,0.315
4134,0.027,0.098,0.005,0.241,0.002,0.303
4135,0.124,0.026,0.066,0.206,0.057,0.223
4136,0.269,0.005,0.205,0.21,0.178,0.064
4137,0.411,0.009,0.355,0.119,0.325,0
4138,0.524,0.017,0.477,0.051,0.457,0
4139,0.598,0.02,0.557,0.024,0.552,0
4140,0.625,0.023,0.591,0.017,0.616,0
4141,0.618,0.032,0.57,0.016,0.625,0
4142,0.573,0.045,0.49,0.017,0.592,0
4143,0.483,0.062,0.398,0.018,0.513,0
4144,0.364,0.074,0.26,0.022,0.402,0
4145,0.221,0.08,0.129,0.032,0.262,0
4146,0.086,0.084,0.039,0.053,0.12,0.001
4147,0.008,0.134,0.001,0.087,0.028,0.004
4148,0,0.204,0,0.131,0,0.025
4149,0,0.158,0,0.187,0,0.059
4150,0,0.058,0,0.256,0,0.085
4151,0,0.008,0,0.331,0,0.115
4152,0,0.02,0,0.394,0,0.158
4153,0,0.185,0,0.424,0,0.214
4154,0,0.505,0,0.431,0,0.278
4155,0,0.573,0,0.406,0,0.363
4156,0,0.562,0,0.325,0,0.461
4157,0,0.538,0,0.241,0,0.512
4158,0.026,0.527,0,0.169,0.002,0.464
4159,0.124,0.683,0.042,0.253,0.057,0.345
4160,0.27,0.453,0.138,0.397,0.181,0.184
4161,0.413,0.181,0.269,0.369,0.332,0.048
4162,0.525,0.05,0.394,0.301,0.463,0.012
4163,0.597,0.007,0.433,0.236,0.559,0.017
4164,0.625,0,0.452,0.192,0.6,0.028
4165,0.617,0,0.421,0.171,0.607,0.041
4166,0.569,0.001,0.347,0.172,0.575,0.051
4167,0.485,0.002,0.289,0.187,0.497,0.048
4168,0.364,0.005,0.223,0.21,0.389,0.036
4169,0.217,0.009,0.141,0.237,0.256,0.028
4170,0.085,0.015,0.053,0.275,0.12,0.023
4171,0.006,0.043,0.002,0.317,0.028,0.028
4172,0,0.156,0,0.368,0,0.048
4173,0,0.484,0,0.379,0,0.08
4174,0,0.796,0,0.438,0,0.124
4175,0,0.883,0,0.562,0,0.184
4176,0,0.879,0,0.633,0,0.272
4177,0,0.809,0,0.696,0,0.419
4178,0,0.72,0,0.754,0,0.648
4179,0,0.59,0,0.775,0,0.776
4180,0,0.427,0,0.771,0,0.74
4181,0,0.275,0,0.708,0,0.616
4182,0.027,0.187,0.002,0.722,0.002,0.45
4183,0.126,0.14,0.061,0.732,0.059,0.311
4184,0.276,0.08,0.177,0.792,0.181,0.226
4185,0.42,0.047,0.298,0.741,0.33,0.181
4186,0.531,0.038,0.399,0.627,0.461,0.151
4187,0.6,0.037,0.449,0.468,0.553,0.104
4188,0.624,0.038,0.486,0.348,0.594,0.076
4189,0.614,0.042,0.485,0.284,0.601,0.061
4190,0.569,0.055,0.441,0.258,0.539,0.049
4191,0.463,0.059,0.354,0.248,0.442,0.032
4192,0.345,0.066,0.24,0.256,0.355,0.017
4193,0.205,0.092,0.135,0.264,0.237,0.01
4194,0.082,0.141,0.05,0.268,0.119,0.008
4195,0.007,0.23,0.001,0.317,0.028,0.008
4196,0,0.356,0,0.416,0,0.012
4197,0,0.411,0,0.505,0,0.022
4198,0,0.395,0,0.561,0,0.041
4199,0,0.343,0,0.557,0,0.063
4200,0,0.259,0,0.493,0,0.091
4201,0,0.178,0,0.37,0,0.141
4202,0,0.107,0,0.344,0,0.206
4203,0,0.048,0,0.244,0,0.159
4204,0,0.015,0,0.167,0,0.064
4205,0,0.005,0,0.127,0,0.02
4206,0.022,0.001,0.002,0.103,0.002,0.014
4207,0.114,0.001,0.067,0.154,0.057,0.034
4208,0.244,0.005,0.185,0.163,0.18,0.065
4209,0.367,0.007,0.306,0.104,0.329,0.041
4210,0.467,0.007,0.409,0.069,0.46,0.019
4211,0.535,0.008,0.489,0.054,0.555,0.008
4212,0.571,0.011,0.516,0.046,0.598,0.003
4213,0.563,0.016,0.524,0.038,0.609,0.001
4214,0.514,0.024,0.49,0.037,0.575,0
4215,0.44,0.032,0.397,0.044,0.502,0
4216,0.322,0.043,0.29,0.064,0.394,0
4217,0.202,0.056,0.159,0.116,0.262,0.001
4218,0.084,0.073,0.063,0.235,0.124,0.002
4219,0.006,0.104,0.003,0.427,0.029,0.006
4220,0,0.16,0,0.621,0,0.027
4221,0,0.191,0,0.704,0,0.088
4222,0,0.185,0,0.695,0,0.206
4223,0,0.156,0,0.673,0,0.365
4224,0,0.118,0,0.649,0,0.527
4225,0,0.083,0,0.605,0,0.635
4226,0,0.056,0,0.561,0,0.691
4227,0,0.063,0,0.465,0,0.691
4228,0,0.1,0,0.329,0,0.648
4229,0,0.14,0,0.187,0,0.579
4230,0.024,0.136,0.004,0.102,0.002,0.499
4231,0.12,0.141,0.071,0.186,0.058,0.337
4232,0.261,0.171,0.198,0.328,0.18,0.283
4233,0.399,0.189,0.343,0.328,0.327,0.269
4234,0.51,0.204,0.463,0.318,0.459,0.25
4235,0.583,0.224,0.541,0.314,0.557,0.224
4236,0.604,0.258,0.578,0.317,0.614,0.198
4237,0.601,0.306,0.55,0.35,0.623,0.179
4238,0.56,0.373,0.478,0.453,0.592,0.165
4239,0.467,0.452,0.373,0.604,0.521,0.154
4240,0.354,0.529,0.254,0.756,0.409,0.152
4241,0.218,0.585,0.154,0.844,0.267,0.16
4242,0.087,0.598,0.057,0.873,0.122,0.179
4243,0.008,0.57,0.001,0.855,0.029,0.24
4244,0,0.538,0,0.81,0,0.424
4245,0,0.465,0,0.765,0,0.658
4246,0,0.378,0,0.687,0,0.822
4247,0,0.324,0,0.614,0,0.917
4248,0,0.312,0,0.579,0,0.963
4249,0,0.33,0,0.611,0,0.972
4250,0,0.362,0,0.64,0,0.963
4251,0,0.37,0,0.658,0,0.933
4252,0,0.365,0,0.588,0,0.874
4253,0,0.377,0,0.524,0,0.79
4254,0.024,0.354,0.002,0.486,0.002,0.715
4255,0.119,0.206,0.058,0.608,0.057,0.762
4256,0.259,0.378,0.16,0.72,0.185,0.778
4257,0.399,0.441,0.281,0.735,0.341,0.777
4258,0.509,0.452,0.407,0.739,0.476,0.779
4259,0.581,0.474,0.456,0.723,0.569,0.75
4260,0.6,0.524,0.481,0.685,0.625,0.701
4261,0.592,0.593,0.463,0.689,0.632,0.638
4262,0.548,0.661,0.42,0.765,0.598,0.573
4263,0.45,0.688,0.314,0.859,0.514,0.485
4264,0.344,0.701,0.18,0.926,0.399,0.398
4265,0.212,0.702,0.098,0.951,0.258,0.349
4266,0.086,0.674,0.033,0.953,0.12,0.345
4267,0.008,0.596,0,0.927,0.027,0.383
4268,0,0.538,0,0.893,0,0.512
4269,0,0.483,0,0.88,0,0.713
4270,0,0.439,0,0.868,0,0.875
4271,0,0.415,0,0.842,0,0.959
4272,0,0.405,0,0.84,0,0.964
4273,0,0.4,0,0.853,0,0.957
4274,0,0.41,0,0.858,0,0.959
4275,0,0.426,0,0.891,0,0.947
4276,0,0.428,0,0.914,0,0.916
4277,0,0.386,0,0.886,0,0.876
4278,0.026,0.257,0.001,0.823,0.002,0.83
4279,0.121,0.145,0.039,0.839,0.058,0.881
4280,0.26,0.341,0.126,0.893,0.183,0.886
4281,0.394,0.32,0.25,0.927,0.335,0.848
4282,0.502,0.303,0.327,0.942,0.469,0.788
4283,0.574,0.323,0.354,0.938,0.564,0.701
4284,0.615,0.377,0.331,0.928,0.604,0.587
4285,0.607,0.461,0.293,0.92,0.612,0.455
4286,0.561,0.567,0.252,0.916,0.578,0.335
4287,0.477,0.657,0.201,0.929,0.514,0.247
4288,0.359,0.72,0.142,0.952,0.401,0.185
4289,0.22,0.75,0.08,0.965,0.261,0.148
4290,0.087,0.744,0.023,0.966,0.121,0.144
4291,0.008,0.692,0,0.943,0.028,0.194
4292,0,0.661,0,0.909,0,0.349
4293,0,0.605,0,0.885,0,0.545
4294,0,0.501,0,0.868,0,0.76
4295,0,0.417,0,0.875,0,0.926
4296,0,0.4,0,0.902,0,0.968
4297,0,0.419,0,0.913,0,0.964
4298,0,0.433,0,0.911,0,0.951
4299,0,0.438,0,0.891,0,0.942
4300,0,0.414,0,0.852,0,0.92
4301,0,0.352,0,0.806,0,0.862
4302,0.023,0.235,0,0.727,0.002,0.814
4303,0.119,0.16,0.031,0.709,0.058,0.825
4304,0.255,0.381,0.092,0.824,0.18,0.802
4305,0.391,0.379,0.168,0.886,0.328,0.761
4306,0.5,0.384,0.247,0.917,0.457,0.716
4307,0.572,0.414,0.309,0.934,0.552,0.654
4308,0.602,0.472,0.362,0.948,0.615,0.569
4309,0.594,0.558,0.387,0.959,0.625,0.491
4310,0.548,0.646,0.37,0.966,0.593,0.448
4311,0.444,0.698,0.323,0.971,0.517,0.405
4312,0.331,0.72,0.246,0.972,0.405,0.365
4313,0.202,0.716,0.14,0.969,0.265,0.348
4314,0.08,0.669,0.044,0.94,0.122,0.368
4315,0.006,0.576,0.001,0.79,0.028,0.443
4316,0,0.516,0,0.556,0,0.599
4317,0,0.424,0,0.453,0,0.773
4318,0,0.318,0,0.459,0,0.886
4319,0,0.237,0,0.534,0,0.948
4320,0,0.186,0,0.691,0,0.97
4321,0,0.16,0,0.642,0,0.964
4322,0,0.151,0,0.578,0,0.956
4323,0,0.149,0,0.548,0,0.944
4324,0,0.132,0,0.519,0,0.92
4325,0,0.102,0,0.505,0,0.887
4326,0.021,0.072,0.002,0.483,0.002,0.837
4327,0.112,0.038,0.058,0.503,0.058,0.874
4328,0.242,0.061,0.173,0.81,0.183,0.873
4329,0.373,0.075,0.291,0.89,0.335,0.853
4330,0.481,0.115,0.395,0.923,0.469,0.829
4331,0.554,0.145,0.436,0.941,0.563,0.792
4332,0.594,0.166,0.449,0.951,0.608,0.75
4333,0.586,0.19,0.441,0.956,0.615,0.706
4334,0.539,0.229,0.369,0.957,0.581,0.672
4335,0.456,0.275,0.266,0.957,0.506,0.645
4336,0.341,0.341,0.182,0.959,0.392,0.64
4337,0.208,0.409,0.105,0.956,0.254,0.668
4338,0.083,0.442,0.034,0.938,0.119,0.723
4339,0.007,0.451,0,0.864,0.026,0.788
4340,0,0.454,0,0.715,0,0.868
4341,0,0.381,0,0.598,0,0.925
4342,0,0.257,0,0.532,0,0.946
4343,0,0.142,0,0.483,0,0.946
4344,0,0.071,0,0.453,0,0.934
4345,0,0.036,0,0.462,0,0.935
4346,0,0.025,0,0.483,0,0.928
4347,0,0.018,0,0.508,0,0.904
4348,0,0.016,0,0.523,0,0.87
4349,0,0.021,0,0.53,0,0.8
4350,0.022,0.024,0.001,0.537,0.002,0.706
4351,0.114,0.016,0.054,0.589,0.058,0.724
4352,0.247,0.003,0.166,0.844,0.18,0.688
4353,0.38,0,0.266,0.903,0.324,0.628
4354,0.489,0.001,0.349,0.908,0.455,0.58
4355,0.56,0.005,0.409,0.901,0.543,0.537
4356,0.602,0.013,0.442,0.901,0.6,0.499
4357,0.595,0.026,0.45,0.91,0.608,0.477
4358,0.549,0.049,0.417,0.921,0.578,0.466
4359,0.455,0.085,0.332,0.928,0.505,0.421
4360,0.342,0.136,0.248,0.928,0.397,0.349
4361,0.208,0.196,0.14,0.916,0.259,0.293
4362,0.082,0.237,0.049,0.868,0.122,0.256
4363,0.006,0.267,0.001,0.793,0.028,0.247
4364,0,0.288,0,0.706,0,0.268
4365,0,0.25,0,0.605,0,0.348
4366,0,0.187,0,0.516,0,0.502
4367,0,0.135,0,0.453,0,0.705
4368,0,0.108,0,0.4,0,0.869
4369,0,0.093,0,0.342,0,0.933
4370,0,0.082,0,0.297,0,0.94
4371,0,0.08,0,0.282,0,0.904
4372,0,0.084,0,0.308,0,0.839
4373,0,0.079,0,0.348,0,0.737
4374,0.021,0.064,0.002,0.39,0.002,0.571
4375,0.11,0.045,0.062,0.394,0.057,0.523
4376,0.236,0.071,0.183,0.781,0.181,0.431
4377,0.366,0.052,0.315,0.909,0.332,0.375
4378,0.478,0.049,0.404,0.936,0.459,0.331
4379,0.544,0.076,0.459,0.949,0.549,0.278
4380,0.576,0.138,0.474,0.958,0.598,0.249
4381,0.588,0.221,0.433,0.966,0.612,0.224
4382,0.542,0.302,0.35,0.97,0.585,0.202
4383,0.445,0.342,0.243,0.973,0.51,0.157
4384,0.314,0.365,0.137,0.973,0.401,0.115
4385,0.196,0.358,0.071,0.973,0.262,0.09
4386,0.079,0.321,0.022,0.966,0.121,0.073
4387,0.006,0.279,0,0.922,0.028,0.07
4388,0,0.237,0,0.822,0,0.078
4389,0,0.117,0,0.727,0,0.087
4390,0,0.03,0,0.673,0,0.106
4391,0,0.009,0,0.643,0,0.152
4392,0,0.02,0,0.611,0,0.248
4393,0,0.074,0,0.602,0,0.45
4394,0,0.198,0,0.677,0,0.725
4395,0,0.291,0,0.748,0,0.867
4396,0,0.331,0,0.758,0,0.866
4397,0,0.341,0,0.748,0,0.812
4398,0.023,0.352,0,0.658,0.002,0.754
4399,0.119,0.328,0.032,0.537,0.056,0.766
4400,0.257,0.166,0.104,0.753,0.18,0.753
4401,0.391,0.049,0.196,0.891,0.332,0.692
4402,0.496,0.011,0.281,0.938,0.465,0.614
4403,0.563,0.005,0.341,0.955,0.558,0.451
4404,0.613,0.006,0.33,0.962,0.606,0.298
4405,0.589,0.009,0.283,0.966,0.616,0.216
4406,0.506,0.013,0.23,0.967,0.585,0.167
4407,0.379,0.013,0.174,0.967,0.521,0.119
4408,0.282,0.009,0.117,0.966,0.411,0.08
4409,0.183,0.008,0.078,0.961,0.269,0.06
4410,0.076,0.013,0.03,0.937,0.122,0.064
4411,0.006,0.044,0.001,0.841,0.028,0.121
4412,0,0.166,0,0.651,0,0.319
4413,0,0.329,0,0.523,0,0.548
4414,0,0.481,0,0.539,0,0.701
4415,0,0.571,0,0.622,0,0.79
4416,0,0.584,0,0.676,0,0.849
4417,0,0.522,0,0.676,0,0.888
4418,0,0.421,0,0.669,0,0.904
4419,0,0.346,0,0.651,0,0.915
4420,0,0.277,0,0.618,0,0.885
4421,0,0.234,0,0.608,0,0.818
4422,0.021,0.206,0.003,0.638,0.002,0.743
4423,0.11,0.204,0.068,0.745,0.057,0.756
4424,0.23,0.125,0.181,0.924,0.175,0.715
4425,0.358,0.048,0.297,0.959,0.316,0.643
4426,0.495,0.007,0.39,0.97,0.443,0.59
4427,0.579,0,0.442,0.972,0.533,0.475
4428,0.593,0,0.461,0.973,0.58,0.38
4429,0.575,0.001,0.462,0.972,0.587,0.37
4430,0.485,0.002,0.444,0.971,0.557,0.404
4431,0.406,0.004,0.365,0.971,0.489,0.385
4432,0.306,0.006,0.264,0.972,0.382,0.33
4433,0.193,0.008,0.156,0.973,0.251,0.303
4434,0.079,0.009,0.061,0.958,0.12,0.314
4435,0.006,0.014,0.002,0.882,0.027,0.425
4436,0,0.03,0,0.724,0,0.635
4437,0,0.057,0,0.6,0,0.773
4438,0,0.091,0,0.508,0,0.842
4439,0,0.111,0,0.607,0,0.874
4440,0,0.104,0,0.692,0,0.899
4441,0,0.092,0,0.658,0,0.932
4442,0,0.096,0,0.617,0,0.928
4443,0,0.092,0,0.625,0,0.901
4444,0,0.089,0,0.648,0,0.865
4445,0,0.105,0,0.696,0,0.84
4446,0.02,0.107,0.001,0.753,0.002,0.8
4447,0.112,0.052,0.054,0.884,0.057,0.799
4448,0.246,0.007,0.166,0.973,0.179,0.777
4449,0.387,0,0.281,0.963,0.329,0.724
4450,0.492,0,0.381,0.958,0.462,0.677
4451,0.569,0,0.437,0.955,0.556,0.63
4452,0.573,0.001,0.469,0.945,0.602,0.578
4453,0.559,0.002,0.456,0.937,0.608,0.529
4454,0.5,0.002,0.399,0.929,0.573,0.471
4455,0.411,0.001,0.316,0.921,0.504,0.405
4456,0.324,0,0.222,0.928,0.393,0.33
4457,0.2,0.001,0.12,0.956,0.256,0.289
4458,0.081,0.002,0.041,0.973,0.12,0.295
4459,0.006,0.013,0.001,0.963,0.026,0.38
4460,0,0.103,0,0.961,0,0.534
4461,0,0.202,0,0.958,0,0.732
4462,0,0.222,0,0.952,0,0.872
4463,0,0.196,0,0.942,0,0.951
4464,0,0.159,0,0.93,0,0.97
4465,0,0.121,0,0.933,0,0.959
4466,0,0.08,0,0.943,0,0.954
4467,0,0.041,0,0.953,0,0.943
4468,0,0.017,0,0.957,0,0.901
4469,0,0.009,0,0.963,0,0.826
4470,0.019,0.009,0.002,0.963,0.001,0.727
4471,0.113,0.02,0.066,0.966,0.057,0.701
4472,0.25,0.048,0.191,0.944,0.179,0.643
4473,0.387,0.07,0.328,0.871,0.33,0.618
4474,0.497,0.086,0.401,0.854,0.464,0.618
4475,0.568,0.08,0.402,0.851,0.56,0.592
4476,0.603,0.063,0.381,0.848,0.615,0.556
4477,0.569,0.046,0.309,0.838,0.622,0.537
4478,0.502,0.032,0.218,0.822,0.588,0.556
4479,0.405,0.022,0.167,0.818,0.513,0.522
4480,0.314,0.016,0.125,0.836,0.4,0.453
4481,0.188,0.011,0.069,0.882,0.261,0.421
4482,0.074,0.012,0.023,0.954,0.121,0.435
4483,0.006,0.052,0,0.971,0.026,0.494
4484,0,0.189,0,0.963,0,0.581
4485,0,0.25,0,0.954,0,0.709
4486,0,0.244,0,0.946,0,0.835
4487,0,0.244,0,0.945,0,0.921
4488,0,0.275,0,0.948,0,0.952
4489,0,0.246,0,0.949,0,0.932
4490,0,0.184,0,0.951,0,0.886
4491,0,0.123,0,0.954,0,0.861
4492,0,0.07,0,0.957,0,0.851
4493,0,0.034,0,0.955,0,0.827
4494,0.012,0.011,0,0.951,0.001,0.788
4495,0.078,0,0.035,0.946,0.058,0.794
4496,0.184,0,0.113,0.971,0.178,0.757
4497,0.316,0.001,0.215,0.973,0.322,0.722
4498,0.453,0.002,0.305,0.973,0.451,0.718
4499,0.547,0.002,0.358,0.973,0.545,0.706
4500,0.589,0.003,0.363,0.972,0.584,0.683
4501,0.563,0.003,0.348,0.97,0.563,0.657
4502,0.517,0.004,0.328,0.967,0.5,0.634
4503,0.444,0.005,0.282,0.964,0.42,0.58
4504,0.328,0.006,0.209,0.964,0.323,0.494
4505,0.198,0.006,0.129,0.97,0.209,0.43
4506,0.083,0.004,0.048,0.971,0.095,0.402
4507,0.006,0.002,0.001,0.951,0.017,0.431
4508,0,0.002,0,0.944,0,0.542
4509,0,0.002,0,0.943,0,0.723
4510,0,0.001,0,0.931,0,0.874
4511,0,0,0,0.913,0,0.957
4512,0,0,0,0.891,0,0.969
4513,0,0,0,0.867,0,0.96
4514,0,0,0,0.846,0,0.966
4515,0,0,0,0.807,0,0.97
4516,0,0,0,0.748,0,0.971
4517,0,0,0,0.713,0,0.951
4518,0.023,0.001,0.001,0.681,0.001,0.919
4519,0.118,0.004,0.039,0.722,0.056,0.922
4520,0.256,0.005,0.115,0.879,0.174,0.905
4521,0.393,0.008,0.192,0.929,0.317,0.868
4522,0.501,0.015,0.265,0.952,0.444,0.822
4523,0.572,0.031,0.341,0.966,0.536,0.764
4524,0.588,0.053,0.357,0.973,0.599,0.697
4525,0.579,0.071,0.332,0.968,0.605,0.632
4526,0.534,0.082,0.289,0.95,0.566,0.589
4527,0.458,0.074,0.228,0.939,0.484,0.539
4528,0.343,0.061,0.164,0.94,0.382,0.491
4529,0.208,0.051,0.102,0.955,0.25,0.477
4530,0.069,0.049,0.037,0.972,0.119,0.497
4531,0.004,0.082,0,0.956,0.025,0.553
4532,0,0.215,0,0.923,0,0.664
4533,0,0.374,0,0.906,0,0.804
4534,0,0.401,0,0.893,0,0.899
4535,0,0.311,0,0.896,0,0.959
4536,0,0.195,0,0.904,0,0.973
4537,0,0.11,0,0.905,0,0.971
4538,0,0.066,0,0.897,0,0.967
4539,0,0.052,0,0.883,0,0.97
4540,0,0.056,0,0.863,0,0.972
4541,0,0.068,0,0.844,0,0.965
4542,0.012,0.08,0.002,0.841,0.001,0.955
4543,0.075,0.094,0.061,0.889,0.057,0.962
4544,0.169,0.24,0.165,0.97,0.181,0.965
4545,0.278,0.425,0.282,0.971,0.329,0.966
4546,0.4,0.516,0.375,0.972,0.459,0.965
4547,0.543,0.556,0.418,0.973,0.551,0.961
4548,0.562,0.581,0.409,0.973,0.585,0.954
4549,0.549,0.592,0.385,0.973,0.591,0.943
4550,0.48,0.589,0.338,0.972,0.555,0.93
4551,0.393,0.488,0.28,0.972,0.48,0.893
4552,0.295,0.313,0.206,0.972,0.371,0.836
4553,0.173,0.155,0.128,0.971,0.241,0.804
4554,0.063,0.051,0.052,0.953,0.113,0.816
4555,0.003,0.003,0.001,0.899,0.023,0.868
4556,0,0.009,0,0.855,0,0.941
4557,0,0.132,0,0.847,0,0.972
4558,0,0.317,0,0.836,0,0.971
4559,0,0.358,0,0.841,0,0.972
4560,0,0.301,0,0.853,0,0.968
4561,0,0.246,0,0.858,0,0.951
4562,0,0.219,0,0.864,0,0.947
4563,0,0.224,0,0.868,0,0.966
4564,0,0.251,0,0.851,0,0.972
4565,0,0.291,0,0.842,0,0.967
4566,0.016,0.308,0.003,0.862,0.001,0.961
4567,0.102,0.264,0.068,0.874,0.056,0.969
4568,0.234,0.53,0.192,0.962,0.18,0.965
4569,0.375,0.739,0.319,0.972,0.331,0.953
4570,0.482,0.709,0.41,0.962,0.463,0.936
4571,0.547,0.654,0.472,0.958,0.556,0.911
4572,0.575,0.608,0.482,0.957,0.61,0.883
4573,0.53,0.58,0.457,0.957,0.615,0.861
4574,0.49,0.556,0.402,0.954,0.577,0.848
4575,0.357,0.515,0.33,0.956,0.509,0.832
4576,0.255,0.453,0.225,0.965,0.395,0.806
4577,0.147,0.393,0.129,0.973,0.254,0.79
4578,0.053,0.303,0.047,0.951,0.118,0.807
4579,0.003,0.248,0.001,0.913,0.024,0.858
4580,0,0.269,0,0.926,0,0.927
4581,0,0.382,0,0.941,0,0.962
4582,0,0.553,0,0.938,0,0.973
4583,0,0.691,0,0.924,0,0.967
4584,0,0.777,0,0.903,0,0.926
4585,0,0.802,0,0.879,0,0.853
4586,0,0.8,0,0.878,0,0.844
4587,0,0.8,0,0.859,0,0.88
4588,0,0.771,0,0.841,0,0.916
4589,0,0.761,0,0.838,0,0.942
4590,0.017,0.753,0.003,0.859,0.001,0.959
4591,0.103,0.753,0.068,0.852,0.056,0.959
4592,0.232,0.852,0.189,0.931,0.179,0.962
4593,0.361,0.839,0.323,0.951,0.327,0.969
4594,0.469,0.73,0.413,0.962,0.459,0.973
4595,0.539,0.625,0.473,0.967,0.553,0.973
4596,0.559,0.584,0.496,0.97,0.601,0.973
4597,0.545,0.584,0.504,0.97,0.602,0.972
4598,0.483,0.593,0.476,0.968,0.564,0.972
4599,0.396,0.573,0.404,0.969,0.488,0.971
4600,0.27,0.531,0.3,0.971,0.373,0.969
4601,0.158,0.461,0.171,0.969,0.239,0.969
4602,0.056,0.369,0.064,0.952,0.111,0.971
4603,0.003,0.329,0.002,0.912,0.021,0.973
4604,0,0.365,0,0.886,0,0.972
4605,0,0.494,0,0.858,0,0.969
4606,0,0.634,0,0.812,0,0.973
4607,0,0.704,0,0.794,0,0.97
4608,0,0.726,0,0.794,0,0.942
4609,0,0.733,0,0.764,0,0.93
4610,0,0.757,0,0.72,0,0.92
4611,0,0.778,0,0.709,0,0.911
4612,0,0.794,0,0.724,0,0.942
4613,0,0.805,0,0.724,0,0.967
4614,0.015,0.802,0.002,0.683,0.001,0.973
4615,0.095,0.849,0.064,0.749,0.056,0.972
4616,0.22,0.919,0.194,0.849,0.179,0.971
4617,0.35,0.895,0.322,0.871,0.33,0.966
4618,0.46,0.822,0.428,0.867,0.464,0.96
4619,0.534,0.745,0.49,0.858,0.559,0.953
4620,0.559,0.704,0.511,0.869,0.601,0.948
4621,0.537,0.7,0.502,0.887,0.608,0.943
4622,0.481,0.706,0.466,0.898,0.574,0.94
4623,0.412,0.695,0.412,0.9,0.507,0.935
4624,0.291,0.665,0.313,0.893,0.391,0.933
4625,0.171,0.618,0.187,0.87,0.253,0.939
4626,0.064,0.523,0.072,0.799,0.118,0.951
4627,0.004,0.45,0.003,0.628,0.023,0.961
4628,0,0.442,0,0.526,0,0.967
4629,0,0.478,0,0.494,0,0.973
4630,0,0.539,0,0.464,0,0.959
4631,0,0.598,0,0.451,0,0.944
4632,0,0.659,0,0.445,0,0.906
4633,0,0.724,0,0.453,0,0.844
4634,0,0.773,0,0.485,0,0.834
4635,0,0.793,0,0.523,0,0.898
4636,0,0.806,0,0.531,0,0.954
4637,0,0.819,0,0.493,0,0.971
4638,0.015,0.828,0.003,0.468,0.001,0.973
4639,0.1,0.829,0.067,0.556,0.055,0.972
4640,0.23,0.934,0.195,0.787,0.181,0.969
4641,0.367,0.967,0.333,0.802,0.333,0.973
4642,0.481,0.956,0.428,0.794,0.467,0.972
4643,0.56,0.92,0.497,0.784,0.561,0.967
4644,0.537,0.871,0.527,0.791,0.621,0.961
4645,0.552,0.828,0.529,0.815,0.626,0.953
4646,0.518,0.797,0.486,0.841,0.592,0.944
4647,0.418,0.758,0.38,0.855,0.51,0.938
4648,0.304,0.707,0.247,0.859,0.399,0.939
4649,0.181,0.654,0.152,0.846,0.259,0.943
4650,0.067,0.552,0.057,0.758,0.12,0.955
4651,0.004,0.456,0.002,0.587,0.024,0.967
4652,0,0.359,0,0.501,0,0.973
4653,0,0.271,0,0.471,0,0.959
4654,0,0.212,0,0.491,0,0.933
4655,0,0.197,0,0.489,0,0.913
4656,0,0.225,0,0.48,0,0.903
4657,0,0.272,0,0.465,0,0.892
4658,0,0.308,0,0.457,0,0.897
4659,0,0.325,0,0.465,0,0.928
4660,0,0.37,0,0.501,0,0.953
4661,0,0.483,0,0.502,0,0.96
4662,0.017,0.465,0.002,0.517,0.001,0.966
4663,0.104,0.32,0.066,0.612,0.055,0.965
4664,0.239,0.508,0.201,0.847,0.175,0.966
