Time_index,Load_MW_z1,Load_MW_z2,Load_MW_z3
366,6417.0,12284.0,34385.0
367,6372.0,12756.0,36394.0
368,6363.0,12454.0,37107.0
369,6422.0,12036.0,37302.0
370,6944.0,11791.0,37338.0
371,7659.0,11553.0,37210.0
372,7905.0,11325.0,38238.0
373,8097.0,11519.0,37917.0
374,7948.0,11341.0,37225.0
375,8478.0,11758.0,37523.0
376,8898.0,11834.0,37624.0
377,8835.0,11748.0,37200.0
378,8601.0,11197.0,35681.0
379,8243.0,10936.0,34540.0
380,8296.0,12179.0,35208.0
381,8563.0,13539.0,34887.0
382,8687.0,12667.0,34219.0
383,9020.0,13469.0,33654.0
384,9008.0,13976.0,33744.0
385,8478.0,13764.0,33738.0
386,7955.0,13631.0,33272.0
387,7557.0,13015.0,32956.0
388,7192.0,12259.0,32996.0
389,6848.0,11844.0,33126.0
390,6548.0,12692.0,34138.0
391,6431.0,13401.0,36511.0
392,6357.0,13202.0,36887.0
393,6445.0,12305.0,37305.0
394,6638.0,12353.0,35911.0
395,7183.0,12025.0,35459.0
396,7551.0,12231.0,36855.0
397,7793.0,12305.0,37177.0
398,7684.0,12350.0,36567.0
399,8097.0,11997.0,36834.0
400,8269.0,11700.0,37238.0
401,8115.0,11494.0,36616.0
402,7807.0,10917.0,35639.0
403,7534.0,10573.0,34387.0
404,7603.0,12048.0,35219.0
405,7798.0,13220.0,35310.0
406,7914.0,12890.0,34363.0
407,8314.0,13687.0,33850.0
408,8486.0,14178.0,34164.0
409,8492.0,14616.0,32681.0
410,8078.0,14765.0,32362.0
411,7688.0,14561.0,31983.0
412,7296.0,14148.0,31664.0
413,6928.0,13430.0,31944.0
414,6609.0,13850.0,33397.0
415,6218.0,14632.0,34862.0
416,5998.0,14719.0,34383.0
417,5719.0,14177.0,33146.0
418,5464.0,13267.0,31919.0
419,5526.0,12623.0,31564.0
420,5687.0,12453.0,32486.0
421,6069.0,12553.0,32748.0
422,6382.0,12282.0,32505.0
423,6576.0,12193.0,32234.0
424,6778.0,11957.0,31951.0
425,6592.0,11637.0,31098.0
426,6232.0,10637.0,30201.0
427,5853.0,10300.0,29449.0
428,6341.0,11529.0,30594.0
429,7270.0,12872.0,30727.0
430,7735.0,12616.0,30643.0
431,8261.0,13750.0,30370.0
432,8523.0,14787.0,30612.0
433,8411.0,14711.0,30504.0
434,8184.0,14491.0,30229.0
435,7676.0,13954.0,29636.0
436,7283.0,13250.0,29550.0
437,6944.0,12810.0,30050.0
438,6595.0,13223.0,31473.0
439,6294.0,14017.0,33601.0
440,6176.0,14307.0,34872.0
441,6274.0,14138.0,35711.0
442,7059.0,13826.0,35657.0
443,7829.0,13862.0,35882.0
444,8189.0,13734.0,36966.0
445,8321.0,13651.0,37920.0
446,8386.0,13507.0,37142.0
447,8907.0,13497.0,37198.0
448,9248.0,13506.0,37286.0
449,9121.0,12911.0,36339.0
450,8760.0,12182.0,35780.0
451,8208.0,11727.0,34816.0
452,8083.0,12931.0,35868.0
453,8422.0,14015.0,35030.0
454,8696.0,14298.0,34408.0
455,9340.0,15088.0,33816.0
456,9480.0,16064.0,33831.0
457,9040.0,15874.0,33625.0
458,8653.0,15987.0,33026.0
459,8303.0,15566.0,32801.0
460,7806.0,14636.0,32439.0
461,7424.0,14016.0,32690.0
462,7080.0,14762.0,33835.0
463,6707.0,15485.0,35333.0
464,6562.0,15708.0,36287.0
465,6583.0,14928.0,36570.0
466,7224.0,14341.0,36580.0
467,7949.0,13860.0,37180.0
468,8353.0,14180.0,38585.0
469,8616.0,14020.0,38407.0
470,8673.0,13825.0,37645.0
471,9365.0,13937.0,37685.0
472,9834.0,14007.0,37695.0
473,9640.0,13735.0,37084.0
474,9223.0,12830.0,36230.0
475,8589.0,12260.0,35280.0
476,8572.0,13660.0,35936.0
477,8824.0,15150.0,36081.0
478,9187.0,14869.0,34650.0
479,9756.0,15399.0,34117.0
480,9796.0,15703.0,34132.0
481,9415.0,15775.0,34011.0
482,9025.0,16271.0,33566.0
483,8608.0,16130.0,32962.0
484,8276.0,15589.0,32685.0
485,7853.0,15024.0,32984.0
486,7386.0,15266.0,34307.0
487,6962.0,15821.0,36329.0
488,6753.0,15988.0,37537.0
489,6847.0,15822.0,37670.0
490,7420.0,15054.0,37161.0
491,8176.0,14961.0,36909.0
492,8556.0,14570.0,37513.0
493,8672.0,14393.0,37428.0
494,8649.0,14443.0,37250.0
495,9209.0,14386.0,36912.0
496,9695.0,14402.0,36850.0
497,9711.0,14390.0,36062.0
498,9309.0,13822.0,35189.0
499,8960.0,13462.0,34589.0
500,8774.0,15615.0,35381.0
501,9071.0,15536.0,34591.0
502,9293.0,15507.0,34164.0
503,9845.0,16073.0,33754.0
504,9945.0,16591.0,33369.0
505,2984.0,14464.0,30516.0
506,2752.0,13965.0,30970.0
507,2601.0,13670.0,31874.0
508,2497.0,13301.0,32079.0
509,2601.0,12336.0,32748.0
510,3067.0,13395.0,34050.0
511,3981.0,16584.0,35321.0
512,4707.0,18571.0,35846.0
513,4889.0,17946.0,35478.0
514,5044.0,16598.0,34995.0
515,5260.0,15451.0,36433.0
516,5177.0,14496.0,38104.0
517,5040.0,13594.0,37876.0
518,4530.0,13123.0,37474.0
519,4491.0,12892.0,37527.0
520,4451.0,13499.0,37940.0
521,4450.0,13797.0,37865.0
522,4779.0,13976.0,36460.0
523,5090.0,14886.0,35065.0
524,4952.0,13816.0,34178.0
525,4547.0,12228.0,32632.0
526,4090.0,11831.0,31952.0
527,3704.0,13231.0,30967.0
528,3297.0,14030.0,30136.0
529,2930.0,13632.0,30050.0
530,2694.0,13219.0,30499.0
531,2565.0,12923.0,31563.0
532,2499.0,12443.0,31856.0
533,2573.0,11533.0,32327.0
534,3067.0,13395.0,34050.0
535,3981.0,16584.0,35321.0
536,4707.0,18571.0,35846.0
537,4889.0,17946.0,35478.0
538,5044.0,16598.0,34995.0
539,5283.0,15541.0,36343.0
540,5239.0,14931.0,37295.0
541,5075.0,14051.0,37291.0
542,4549.0,13533.0,36973.0
543,4422.0,13542.0,36868.0
544,4186.0,13880.0,36609.0
545,4081.0,14042.0,36226.0
